2026-05-13 16:19:33 | INFO     | app.services.template_manager | Template saved to database: e983f56d-dd03-4ff5-9f5c-6bada3934905
2026-05-13 16:19:56 | INFO     | app.main | Shutting down application...
2026-05-13 16:19:58 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 16:19:58 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 16:19:59 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 16:19:59 | INFO     | app.main | Initializing services...
2026-05-13 16:19:59 | INFO     | app.main | All directories created successfully
2026-05-13 16:19:59 | INFO     | app.database | 🐘 PostgreSQL: PostgreSQL 14.20 (Homebrew) on aarch64-apple-darwin24.6.0
2026-05-13 16:19:59 | INFO     | app.database | ✅ Database connection successful
2026-05-13 16:19:59 | INFO     | app.main | Database initialized successfully
2026-05-13 16:20:49 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:01 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:12 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:13 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:13 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:13 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:13 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:26 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:27 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:27 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:28 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:35 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:21:45 | INFO     | app.services.template_manager | Retrieved 2 templates from database
2026-05-13 16:22:05 | INFO     | app.utils.file_utils | Template saved: templates/795244da-d02e-4fff-a16e-1347261be07e/original.docx
2026-05-13 16:22:05 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'project_cost', 'approved_by', 'phone_number', 'website', 'company_email', 'currency', 'final_amount', 'tax_amount', 'department', 'address', 'director_name', 'invoice_number', 'postal_code', 'city', 'company_name', 'employee_count', 'signing_date', 'country', 'generated_by_ai', 'document_id'}
2026-05-13 16:22:05 | INFO     | app.services.template_manager | Template saved to database: 795244da-d02e-4fff-a16e-1347261be07e
2026-05-13 16:23:38 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:23:39 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:23:41 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:24:44 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:24:49 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:24:52 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:24:53 | INFO     | app.services.template_manager | Retrieved 3 templates from database
2026-05-13 16:25:01 | INFO     | app.utils.file_utils | Template saved: templates/ba4ec4f6-e8c4-4712-ba01-0ab367e324d9/original.docx
2026-05-13 16:25:01 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'project_cost', 'approved_by', 'phone_number', 'website', 'company_email', 'currency', 'final_amount', 'tax_amount', 'department', 'address', 'director_name', 'invoice_number', 'postal_code', 'city', 'company_name', 'employee_count', 'signing_date', 'country', 'generated_by_ai', 'document_id'}
2026-05-13 16:25:01 | INFO     | app.services.template_manager | Template saved to database: ba4ec4f6-e8c4-4712-ba01-0ab367e324d9
2026-05-13 16:25:31 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:13 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:13 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:16 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:17 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:17 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:17 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:18 | INFO     | app.services.template_manager | Retrieved 4 templates from database
2026-05-13 16:26:26 | INFO     | app.utils.file_utils | Template saved: templates/0d0ce3e4-e0d2-4057-bdf7-2a23b8f78e7c/original.docx
2026-05-13 16:26:26 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'project_cost', 'approved_by', 'phone_number', 'website', 'company_email', 'currency', 'final_amount', 'tax_amount', 'department', 'address', 'director_name', 'invoice_number', 'postal_code', 'city', 'company_name', 'employee_count', 'signing_date', 'country', 'generated_by_ai', 'document_id'}
2026-05-13 16:26:26 | INFO     | app.services.template_manager | Template saved to database: 0d0ce3e4-e0d2-4057-bdf7-2a23b8f78e7c
2026-05-13 16:27:11 | INFO     | app.main | Shutting down application...
2026-05-13 16:27:12 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 16:27:12 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 16:27:12 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 16:27:12 | INFO     | app.main | Initializing services...
2026-05-13 16:27:12 | INFO     | app.main | All directories created successfully
2026-05-13 16:27:12 | INFO     | app.database | 🐘 PostgreSQL: PostgreSQL 14.20 (Homebrew) on aarch64-apple-darwin24.6.0
2026-05-13 16:27:12 | INFO     | app.database | ✅ Database connection successful
2026-05-13 16:27:12 | INFO     | app.main | Database initialized successfully
2026-05-13 16:27:43 | INFO     | app.services.template_manager | Retrieved 5 templates from database
2026-05-13 16:27:43 | INFO     | app.services.template_manager | Retrieved 5 templates from database
2026-05-13 16:27:52 | INFO     | app.main | Shutting down application...
2026-05-13 16:27:53 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 16:27:53 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 16:27:54 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 16:27:54 | INFO     | app.main | Initializing services...
2026-05-13 16:27:54 | INFO     | app.main | All directories created successfully
2026-05-13 16:27:54 | INFO     | app.database | 🐘 PostgreSQL: PostgreSQL 14.20 (Homebrew) on aarch64-apple-darwin24.6.0
2026-05-13 16:27:54 | INFO     | app.database | ✅ Database connection successful
2026-05-13 16:27:54 | INFO     | app.main | Database initialized successfully
2026-05-13 16:28:07 | INFO     | app.services.template_manager | Retrieved 5 templates from database
2026-05-13 16:28:11 | INFO     | app.services.template_manager | Template soft deleted from database: 0d0ce3e4-e0d2-4057-bdf7-2a23b8f78e7c
2026-05-13 16:28:14 | INFO     | app.services.template_manager | Template soft deleted from database: 5ccc9654-741e-4087-8d26-3e91c2b1ea48
2026-05-13 16:28:17 | INFO     | app.services.template_manager | Template soft deleted from database: e983f56d-dd03-4ff5-9f5c-6bada3934905
2026-05-13 16:28:19 | INFO     | app.services.template_manager | Template soft deleted from database: 795244da-d02e-4fff-a16e-1347261be07e
2026-05-13 16:28:21 | INFO     | app.services.template_manager | Template soft deleted from database: ba4ec4f6-e8c4-4712-ba01-0ab367e324d9
2026-05-13 16:28:39 | INFO     | app.utils.file_utils | Template saved: templates/5f658c76-5221-48bb-bd46-5d91ba9ad019/original.docx
2026-05-13 16:28:39 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'approved_by', 'phone_number', 'company_email', 'website', 'final_amount', 'invoice_number', 'department', 'employee_count', 'currency', 'company_name', 'city', 'generated_by_ai', 'signing_date', 'project_cost', 'country', 'document_id', 'director_name', 'address', 'tax_amount', 'postal_code'}
2026-05-13 16:28:39 | INFO     | app.services.template_manager | Template saved to database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:28:39 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:28:46 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:29:06 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:29:14 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:30:24 | INFO     | app.api.v1.endpoints.generate | Preview mapping for template: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:30:24 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:30:25 | INFO     | app.core.openai_client | Groq API success - Extracted 3 placeholders: ['company_name', 'director_name', 'project_cost']
2026-05-13 16:30:25 | INFO     | app.utils.validation | Validation passed. Mapped 3 placeholders
2026-05-13 16:30:25 | INFO     | app.services.ai_mapper | AI mapping completed. Filled 3 placeholders
2026-05-13 16:31:05 | INFO     | app.api.v1.endpoints.generate | Generating document for template: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:31:05 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:31:05 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:31:05 | INFO     | app.api.v1.endpoints.generate | Template found. Placeholders: {'company_email', 'website', 'invoice_number', 'employee_count', 'currency', 'company_name', 'city', 'generated_by_ai', 'tax_amount', 'country', 'approved_by', 'phone_number', 'final_amount', 'department', 'signing_date', 'project_cost', 'document_id', 'director_name', 'address', 'postal_code'}
2026-05-13 16:31:05 | INFO     | app.core.openai_client | Groq API success - Extracted 3 placeholders: ['company_name', 'director_name', 'project_cost']
2026-05-13 16:31:05 | INFO     | app.utils.validation | Validation passed. Mapped 3 placeholders
2026-05-13 16:31:05 | INFO     | app.services.ai_mapper | AI mapping completed. Filled 3 placeholders
2026-05-13 16:31:05 | INFO     | app.api.v1.endpoints.generate | AI mapped 3 values
2026-05-13 16:31:05 | INFO     | app.services.docx_renderer | Template rendered successfully with 3 variables
2026-05-13 16:31:05 | INFO     | app.utils.file_utils | Generated document saved: generated_docs/5f658c76-5221-48bb-bd46-5d91ba9ad019/generated_9feed086.docx
2026-05-13 16:43:20 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:43:23 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:43:27 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:43:31 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 16:43:33 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 17:04:14 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 17:04:14 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 17:13:33 | INFO     | app.services.template_manager | Retrieved 1 templates from database
